Economy (GDP per Capita),Health (Life Expectancy),Happiness Score
0.524713635,0.529235125,5.040999889
0.885416389,0.495879292,5.011000156
0.596220076,0.553457797,5.004000187
0.479820192,0.504130781,4.961999893
1.027235866,0.557783484,4.954999924
1.054698706,0.18708007,4.828999996
1.007265806,0.613212049,4.804999828
0.716249228,0.565666974,4.775000095
0.989701807,0.520187259,4.735000134
1.161459088,0.70821768,4.714000225
0.368420929,0.005564754,4.709000111
0.564305365,0.132892117,4.695000172
1.156873107,0.639333189,4.691999912
0.996192753,0.731159747,4.644000053
0.586682975,0.533241034,4.607999802
0.964434326,0.338611811,4.573999882
0.560479462,0.30998835,4.552999973
0.23430565,0.106654435,4.550000191
0.36711055,0.397522569,4.545000076
0.479309022,0.409362853,4.534999847
0.636406779,0.257835895,4.513999939
1.102710485,0.50118047,4.497000217
1.198210239,0.356578588,4.465000153
0.339233845,0.353409708,4.460000038
1.009850144,0.625130832,4.440000057
0.900596738,0.637524426,4.375999928
0.792221248,0.455427617,4.315000057
0.648457289,0.28534928,4.291999817
0.808964252,0.289957434,4.290999889
0.950612664,0.649546981,4.285999775
0.092102349,0.191407025,4.28000021
0.476180494,0.169365674,4.190000057
0.603048921,0.04864217,4.179999828
0.601765096,0.429783404,4.168000221
0.659516692,0.290920824,4.138999939
0.667224824,0.295637727,4.119999886
0.894651949,0.575903952,4.096000195
0.381430715,0.217632607,4.080999851
0.350227714,0.215844259,4.032000065
0.161925331,0.268505007,4.027999878
0.233442038,0.315089583,3.970000029
0.438012987,0.041134715,3.936000109
0.375846535,0.196763754,3.875
0.521021247,0,3.808000088
0.85842818,0.049868666,3.795000076
0.401477218,0.180746779,3.79399991
1.122094154,0.341755509,3.766000032
0.431085408,0.209930211,3.657000065
0.305808693,0.375223309,3.644000053
0.368610263,0.27732113,3.602999926
0.591683447,0.310080916,3.592999935
0.397248626,0.163486004,3.59100008
0.119041793,0.229918197,3.532999992
0.24454993,0.194129139,3.506999969
0.305444717,0.247105569,3.494999886
0.368745893,0.326424807,3.470999956
0.777153134,0.500533342,3.461999893
0.511135876,0.364509284,3.348999977
0.091622569,0.151610792,2.904999971
0,0.018772686,2.693000078
1.305,0.874,7.632
1.456,0.861,7.594
1.351,0.868,7.555
1.343,0.914,7.495
1.42,0.927,7.487
1.361,0.878,7.441
1.33,0.896,7.328
1.268,0.876,7.324
1.355,0.913,7.314
1.34,0.91,7.272
1.244,0.888,7.19
1.341,0.891,7.139
1.01,0.817,7.072
1.448,0.876,6.977
1.34,0.861,6.965
1.324,0.894,6.927
1.576,0.896,6.91
1.398,0.819,6.886
1.301,0.883,6.814
2.096,0.67,6.774
1.233,0.854,6.711
1.27,0.884,6.627
1.293,0.908,6.489
1.038,0.761,6.488
1.131,0.808,6.476
1.365,0.857,6.441
1.112,0.759,6.43
0.986,0.675,6.419
1.073,0.744,6.388
0.781,0.608,6.382
1.093,0.771,6.379
1.649,0.748,6.374
1.379,0.633,6.371
1.529,1.008,6.343
1.161,0.669,6.322
1.251,0.965,6.31
0.96,0.635,6.26
1.223,0.564,6.192
1.21,0.776,6.173
0.806,0.639,6.167
0.668,0.7,6.141
1.176,0.781,6.123
1.338,0.698,6.105
0.719,0.605,6.096
1.474,0.675,6.083
1.016,0.707,6.072
1.264,0.946,6
0.889,0.736,5.973
0.807,0.474,5.956
1.197,0.716,5.952
1.219,0.856,5.948
1.116,0.726,5.945
1.148,0.671,5.933
1.294,0.988,5.915
1.09,0.684,5.891
0.819,0.693,5.89
1.266,0.955,5.875
1.229,0.909,5.835
1.151,0.599,5.81
1.143,0.631,5.79
1.229,0.909,5.762
0.751,0.508,5.752
1.2,0.737,5.739
0.835,0.615,5.681
0.934,0.674,5.663
0.855,0.578,5.662
0.657,0.62,5.64
1.016,0.517,5.636
1.171,0.732,5.62
0.985,0.553,5.566
0.775,0.513,5.524
0.62,0.622,5.504
1.039,0.7,5.483
1.148,0.686,5.483
0.652,0.424,5.472
1.405,1.03,5.43
1.188,0.884,5.41
0.975,0.685,5.398
1.154,0.879,5.358
0.965,0.785,5.358
1.017,0.729,5.347
1.115,0.737,5.321
0.982,0.614,5.302
0.979,0.687,5.295
0.779,0.669,5.254
0.989,0.799,5.246
1.024,0.603,5.201
0.474,0.598,5.199
0.959,0.691,5.185
0.822,0.645,5.161
0.689,0.048,5.155
0.53,0.594,5.131
0.915,0.758,5.129
0.914,0.575,5.125
0.715,0.702,5.103
0.899,0.522,5.093
0.796,0.527,5.082
0,0.115,4.982
0.535,0.182,4.975
1.054,0.712,4.933
0.425,0.539,4.88
0.996,0.657,4.806
1.036,0.404,4.758
0.642,0.602,4.743
0.94,0.33,4.724
1.059,0.691,4.707
0.541,0.08,4.671
0.592,0.337,4.657
0.429,0.433,4.631
0.72,0.441,4.623
0.9,0.69,4.592
0.916,0.79,4.586
0.256,0,4.571
0.682,0.343,4.559
0.532,0.579,4.5
0.918,0.672,4.471
1.01,0.536,4.456
0.37,0.152,4.447
0.874,0.365,4.441
0.549,0.457,4.433
0.314,0.254,4.424
0.885,0.553,4.419
0.198,0.173,4.417
0.493,0.454,4.41
0.562,0.295,4.377
0.557,0.292,4.356
0.308,0.391,4.35
0.853,0.643,4.34
0.816,0.666,4.321
0.682,0.429,4.308
0.358,0.053,4.301
0.069,0.204,4.245
0.721,0.485,4.19
0.131,0.221,4.166
0.322,0.237,4.161
0.378,0.24,4.141
0.605,0.312,4.139
0.793,0.609,4.103
0.259,0.253,3.999
0.344,0.211,3.964
0.472,0.079,3.808
0.73,0.269,3.795
0.262,0.402,3.774
0.357,0.248,3.692
0.332,0.255,3.632
1.017,0.417,3.59
0.186,0.306,3.587
0.315,0.289,3.582
0.076,0.267,3.495
0.689,0.539,3.462
0.332,0.4,3.408
0.442,0.343,3.355
0.455,0.381,3.303
0.337,0.177,3.254
0.024,0.01,3.083
0.091,0.145,2.905
1.34,0.986,7.769
1.383,0.996,7.6
1.488,1.028,7.554
1.38,1.026,7.494
1.396,0.999,7.488
1.452,1.052,7.48
1.387,1.009,7.343
1.303,1.026,7.307
1.365,1.039,7.278
1.376,1.016,7.246
1.372,1.036,7.228
1.034,0.963,7.167
1.276,1.029,7.139
1.609,1.012,7.09
1.333,0.996,7.054
1.499,0.999,7.021
1.373,0.987,6.985
1.356,0.986,6.923
1.433,0.874,6.892
1.269,0.92,6.852
1.503,0.825,6.825
1.3,0.999,6.726
1.07,0.861,6.595
1.324,1.045,6.592
1.368,0.914,6.446
1.159,0.92,6.444
0.8,0.746,6.436
1.403,0.795,6.375
1.684,0.871,6.374
1.286,1.062,6.354
1.149,0.91,6.321
1.004,0.802,6.3
1.124,0.891,6.293
1.572,1.141,6.262
0.794,0.789,6.253
1.294,1.039,6.223
1.362,0.871,6.199
1.246,0.881,6.198
1.231,0.713,6.192
1.206,0.884,6.182
0.745,0.756,6.174
1.238,0.818,6.149
0.985,0.841,6.125
1.258,0.953,6.118
0.694,0.835,6.105
0.882,0.758,6.1
1.092,0.881,6.086
1.162,0.825,6.07
1.263,1.042,6.046
0.912,0.868,6.028
1.5,0.808,6.021
1.05,0.828,6.008
1.187,0.812,5.94
1.301,1.036,5.895
1.237,0.874,5.893
0.831,0.831,5.89
1.12,0.798,5.888
1.327,1.088,5.886
0.642,0.828,5.86
1.173,0.729,5.809
0.776,0.706,5.779
1.201,0.828,5.758
0.855,0.777,5.743
1.263,1.042,5.718
0.96,0.854,5.697
1.221,0.999,5.693
0.677,0.535,5.653
1.183,0.726,5.648
0.807,0.657,5.631
1.004,0.854,5.603
0.685,0.739,5.529
1.044,0.673,5.525
1.051,0.871,5.523
0.493,0.718,5.467
1.155,0.914,5.432
1.438,1.122,5.43
1.015,0.779,5.425
0.945,0.845,5.386
1.183,0.808,5.373
1.221,0.828,5.339
1.067,0.789,5.323
1.181,0.999,5.287
0.948,0.667,5.285
0.983,0.838,5.274
0.696,0.245,5.265
0.551,0.723,5.261
1.052,0.657,5.247
1.002,0.785,5.211
0.801,0.782,5.208
1.043,0.769,5.208
0.987,0.815,5.197
0.931,0.66,5.192
1.029,0.893,5.191
0.741,0.851,5.175
0.813,0.604,5.082
0.549,0.331,5.044
1.092,0.815,5.011
0.611,0.486,4.996
0.569,0.232,4.944
0.446,0.677,4.913
0.837,0.815,4.906
0.393,0.397,4.883
0.673,0.508,4.812
1.057,0.571,4.799
0.764,0.551,4.796
0.96,0.469,4.722
0.947,0.874,4.719
0.96,0.805,4.707
0.574,0.637,4.7
0.657,0.672,4.696
0.45,0.571,4.681
0,0.268,4.668
0.879,0.477,4.639
0.138,0.366,4.628
0.331,0.38,4.587
0.85,0.815,4.559
1.1,0.785,4.548
0.38,0.375,4.534
0.886,0.752,4.519
0.308,0.428,4.516
0.512,0.581,4.509
0.57,0.489,4.49
0.204,0.39,4.466
0.921,0.815,4.461
0.562,0.723,4.456
1.043,0.574,4.437
0.094,0.357,4.418
0.385,0.308,4.39
0.268,0.242,4.374
0.949,0.831,4.366
0.71,0.555,4.36
0.35,0.192,4.35
0.82,0.739,4.332
0.336,0.532,4.286
0.811,0,4.212
0.332,0.443,4.189
0.913,0.644,4.166
0.578,0.426,4.107
0.275,0.41,4.085
0.755,0.588,4.015
0.073,0.443,3.975
0.274,0.505,3.973
0.274,0.555,3.933
0.489,0.168,3.802
0.046,0.38,3.775
0.366,0.433,3.663
0.323,0.449,3.597
1.041,0.538,3.488
0.619,0.44,3.462
0.191,0.495,3.41
0.287,0.463,3.38
0.359,0.614,3.334
0.476,0.499,3.231
0.35,0.361,3.203
0.026,0.105,3.083
0.306,0.295,2.853
